,n_estimators,max_depth,learning_rate,min_child_weight,gamma,accuracy
224,25,,0.2,1,0.0,0.5097037793667007
225,25,,0.2,1,0.1,0.5097037793667007
226,25,,0.2,1,0.2,0.5137895812053116
227,25,,0.2,1,0.3,0.5117466802860061
228,25,,0.2,2,0.0,0.5066394279877426
229,25,,0.2,2,0.1,0.5168539325842697
230,25,,0.2,2,0.2,0.5188968335035751
231,25,,0.2,2,0.3,0.49846782431052095
232,25,,0.2,3,0.0,0.5076608784473953
233,25,,0.2,3,0.1,0.5076608784473953
234,25,,0.2,3,0.2,0.5168539325842697
235,25,,0.2,3,0.3,0.5168539325842697
236,25,,0.2,4,0.0,0.4974463738508682
237,25,,0.2,4,0.1,0.4974463738508682
238,25,,0.2,4,0.2,0.4974463738508682
239,25,,0.2,4,0.3,0.4902962206332993
240,25,,0.3,1,0.0,0.4902962206332993
241,25,,0.3,1,0.1,0.49540347293156284
242,25,,0.3,1,0.2,0.491317671092952
243,25,,0.3,1,0.3,0.4943820224719101
244,25,,0.3,2,0.0,0.5025536261491318
245,25,,0.3,2,0.1,0.508682328907048
246,25,,0.3,2,0.2,0.4964249233912155
247,25,,0.3,2,0.3,0.508682328907048
248,25,,0.3,3,0.0,0.49948927477017363
249,25,,0.3,3,0.1,0.5199182839632278
250,25,,0.3,3,0.2,0.49846782431052095
251,25,,0.3,3,0.3,0.5148110316649642
252,25,,0.3,4,0.0,0.4851889683350358
253,25,,0.3,4,0.1,0.4851889683350358
254,25,,0.3,4,0.2,0.4902962206332993
255,25,,0.3,4,0.3,0.4964249233912155
256,50,10.0,0.01,1,0.0,0.5025536261491318
257,50,10.0,0.01,1,0.1,0.4974463738508682
258,50,10.0,0.01,1,0.2,0.5035750766087844
259,50,10.0,0.01,1,0.3,0.5035750766087844
260,50,10.0,0.01,2,0.0,0.5035750766087844
261,50,10.0,0.01,2,0.1,0.5056179775280899
262,50,10.0,0.01,2,0.2,0.5066394279877426
263,50,10.0,0.01,2,0.3,0.5107252298263534
264,50,10.0,0.01,3,0.0,0.49948927477017363
265,50,10.0,0.01,3,0.1,0.5005107252298263
266,50,10.0,0.01,3,0.2,0.5025536261491318
267,50,10.0,0.01,3,0.3,0.5005107252298263
268,50,10.0,0.01,4,0.0,0.5188968335035751
269,50,10.0,0.01,4,0.1,0.515832482124617
270,50,10.0,0.01,4,0.2,0.5127681307456589
271,50,10.0,0.01,4,0.3,0.5148110316649642
272,50,10.0,0.1,1,0.0,0.5045965270684372
273,50,10.0,0.1,1,0.1,0.49846782431052095
274,50,10.0,0.1,1,0.2,0.5107252298263534
275,50,10.0,0.1,1,0.3,0.508682328907048
276,50,10.0,0.1,2,0.0,0.5035750766087844
277,50,10.0,0.1,2,0.1,0.4882533197139939
278,50,10.0,0.1,2,0.2,0.49846782431052095
279,50,10.0,0.1,2,0.3,0.5117466802860061
280,50,10.0,0.1,3,0.0,0.5076608784473953
281,50,10.0,0.1,3,0.1,0.5148110316649642
282,50,10.0,0.1,3,0.2,0.49846782431052095
283,50,10.0,0.1,3,0.3,0.48927477017364657
284,50,10.0,0.1,4,0.0,0.5097037793667007
285,50,10.0,0.1,4,0.1,0.5240040858018387
286,50,10.0,0.1,4,0.2,0.5056179775280899
287,50,10.0,0.1,4,0.3,0.5209397344228804
288,50,10.0,0.2,1,0.0,0.5148110316649642
289,50,10.0,0.2,1,0.1,0.5117466802860061
290,50,10.0,0.2,1,0.2,0.5240040858018387
291,50,10.0,0.2,1,0.3,0.5076608784473953
292,50,10.0,0.2,2,0.0,0.5045965270684372
293,50,10.0,0.2,2,0.1,0.515832482124617
294,50,10.0,0.2,2,0.2,0.5045965270684372
295,50,10.0,0.2,2,0.3,0.5148110316649642
296,50,10.0,0.2,3,0.0,0.4933605720122574
297,50,10.0,0.2,3,0.1,0.5107252298263534
298,50,10.0,0.2,3,0.2,0.5005107252298263
299,50,10.0,0.2,3,0.3,0.4943820224719101
300,50,10.0,0.2,4,0.0,0.5127681307456589
301,50,10.0,0.2,4,0.1,0.5137895812053116
302,50,10.0,0.2,4,0.2,0.5097037793667007
303,50,10.0,0.2,4,0.3,0.508682328907048
304,50,10.0,0.3,1,0.0,0.5056179775280899
305,50,10.0,0.3,1,0.1,0.5188968335035751
306,50,10.0,0.3,1,0.2,0.5066394279877426
307,50,10.0,0.3,1,0.3,0.5117466802860061
308,50,10.0,0.3,2,0.0,0.515832482124617
309,50,10.0,0.3,2,0.1,0.5137895812053116
310,50,10.0,0.3,2,0.2,0.5148110316649642
