,n_estimators,max_depth,min_samples_split,max_features,accuracy,precision
163,100,20.0,50,log2,0.48452655889145496,0.5003837298541827
164,100,20.0,50,,0.5062355658198614,0.5184331797235023
165,100,,2,sqrt,0.5090069284064666,0.5211598746081505
166,100,,2,log2,0.4956120092378753,0.5103391232423491
167,100,,2,,0.5002309468822171,0.5148683092608326
168,100,,3,sqrt,0.49653579676674364,0.5103132161955691
169,100,,3,log2,0.4928406466512702,0.5073815073815073
170,100,,3,,0.492378752886836,0.5077720207253886
171,100,,5,sqrt,0.497459584295612,0.5114806017418844
172,100,,5,log2,0.49607390300230947,0.5101088646967341
173,100,,5,,0.4951501154734411,0.510016694490818
174,100,,10,sqrt,0.4997690531177829,0.5134920634920634
175,100,,10,log2,0.48729792147806006,0.5027799841143765
176,100,,10,,0.4942263279445728,0.5088852988691438
177,100,,50,sqrt,0.4868360277136259,0.502127659574468
178,100,,50,log2,0.4942263279445728,0.5085139318885449
179,100,,50,,0.492378752886836,0.5067771084337349
180,150,10.0,2,sqrt,0.49930715935334874,0.511340206185567
181,150,10.0,2,log2,0.49376443418013855,0.5072765072765073
182,150,10.0,2,,0.49884526558891457,0.5117820324005891
183,150,10.0,3,sqrt,0.5020785219399538,0.5133653187114462
184,150,10.0,3,log2,0.49330254041570437,0.5070224719101124
185,150,10.0,3,,0.49884526558891457,0.5114613180515759
186,150,10.0,5,sqrt,0.4886836027713626,0.5035063113604488
187,150,10.0,5,log2,0.48498845265588914,0.5006821282401092
188,150,10.0,5,,0.49653579676674364,0.5095003518648838
189,150,10.0,10,sqrt,0.4914549653579677,0.5057061340941512
190,150,10.0,10,log2,0.48729792147806006,0.5024054982817869
191,150,10.0,10,,0.5016166281755197,0.5142428785607196
192,150,10.0,50,sqrt,0.49930715935334874,0.5115303983228512
193,150,10.0,50,log2,0.4909930715935335,0.5053995680345572
194,150,10.0,50,,0.4914549653579677,0.5057803468208093
195,150,15.0,2,sqrt,0.497459584295612,0.5111111111111111
196,150,15.0,2,log2,0.49653579676674364,0.5099630996309963
197,150,15.0,2,,0.5011547344110855,0.514176245210728
198,150,15.0,3,sqrt,0.497459584295612,0.5105762217359592
199,150,15.0,3,log2,0.4942263279445728,0.50859375
200,150,15.0,3,,0.497459584295612,0.5114624505928854
201,150,15.0,5,sqrt,0.4983833718244804,0.511127063890883
202,150,15.0,5,log2,0.49653579676674364,0.5104086353122591
203,150,15.0,5,,0.49884526558891457,0.5129659643435981
204,150,15.0,10,sqrt,0.48914549653579675,0.5042340261739799
205,150,15.0,10,log2,0.4997690531177829,0.5126865671641792
206,150,15.0,10,,0.49191685912240185,0.5067513899920572
207,150,15.0,50,sqrt,0.4840646651270208,0.5
208,150,15.0,50,log2,0.4762124711316397,0.49352627570449353
209,150,15.0,50,,0.497459584295612,0.5107487027427724
210,150,20.0,2,sqrt,0.4868360277136259,0.502373417721519
211,150,20.0,2,log2,0.49468822170900695,0.5089216446858029
212,150,20.0,2,,0.49884526558891457,0.5130505709624796
213,150,20.0,3,sqrt,0.4942263279445728,0.5087579617834395
214,150,20.0,3,log2,0.4951501154734411,0.5097244732576985
215,150,20.0,3,,0.5039260969976905,0.5172413793103449
216,150,20.0,5,sqrt,0.49792147806004616,0.5109649122807017
217,150,20.0,5,log2,0.49468822170900695,0.5089633671083398
218,150,20.0,5,,0.49653579676674364,0.5106888361045131
219,150,20.0,10,sqrt,0.4900692840646651,0.5051792828685259
220,150,20.0,10,log2,0.4983833718244804,0.51242983159583
221,150,20.0,10,,0.4896073903002309,0.5048622366288493
222,150,20.0,50,sqrt,0.49468822170900695,0.5086401202103682
223,150,20.0,50,log2,0.4909930715935335,0.5056348610067618
224,150,20.0,50,,0.5016166281755197,0.5143504531722054
225,150,,2,sqrt,0.48452655889145496,0.5003933910306845
226,150,,2,log2,0.4983833718244804,0.5126737530662305
227,150,,2,,0.5020785219399538,0.516595744680851
228,150,,3,sqrt,0.4928406466512702,0.5073133179368745
229,150,,3,log2,0.492378752886836,0.5073649754500819
230,150,,3,,0.5085450346420324,0.5216680294358136
231,150,,5,sqrt,0.48498845265588914,0.500814332247557
232,150,,5,log2,0.49376443418013855,0.508460918614021
233,150,,5,,0.49468822170900695,0.509403107113655
234,150,,10,sqrt,0.4914549653579677,0.5061728395061729
235,150,,10,log2,0.49930715935334874,0.5131056393963463
236,150,,10,,0.4951501154734411,0.5102915951972555
237,150,,50,sqrt,0.4896073903002309,0.5045454545454545
238,150,,50,log2,0.48914549653579675,0.5042471042471043
239,150,,50,,0.4983833718244804,0.5113221329437546
240,200,10.0,2,sqrt,0.48729792147806006,0.5024492652204339
241,200,10.0,2,log2,0.4900692840646651,0.5044612216884008
242,200,10.0,2,,0.48914549653579675,0.503959683225342
243,200,10.0,3,sqrt,0.4928406466512702,0.5065202470830473
244,200,10.0,3,log2,0.5039260969976905,0.514878892733564
245,200,10.0,3,,0.5002309468822171,0.5122979620520028
246,200,10.0,5,sqrt,0.4928406466512702,0.5067423704755145
247,200,10.0,5,log2,0.49053117782909933,0.5049365303244006
248,200,10.0,5,,0.49930715935334874,0.5121771217712177
249,200,10.0,10,sqrt,0.4863741339491917,0.501779359430605
250,200,10.0,10,log2,0.48775981524249423,0.5028818443804035
251,200,10.0,10,,0.4983833718244804,0.5111591072714183
252,200,10.0,50,sqrt,0.4886836027713626,0.5035112359550562
253,200,10.0,50,log2,0.4886836027713626,0.5035612535612536
254,200,10.0,50,,0.4956120092378753,0.5093773443360841
255,200,15.0,2,sqrt,0.5039260969976905,0.5163249810174639
256,200,15.0,2,log2,0.49792147806004616,0.5115562403697997
257,200,15.0,2,,0.4914549653579677,0.5062402496099844
258,200,15.0,3,sqrt,0.4909930715935335,0.5057034220532319
259,200,15.0,3,log2,0.49884526558891457,0.5126182965299685
260,200,15.0,3,,0.49884526558891457,0.512779552715655
261,200,15.0,5,sqrt,0.49053117782909933,0.5051775147928994
262,200,15.0,5,log2,0.5030023094688222,0.5154483798040693
263,200,15.0,5,,0.4840646651270208,0.5
264,200,15.0,10,sqrt,0.4914549653579677,0.5060698027314112
265,200,15.0,10,log2,0.4886836027713626,0.5039745627980922
266,200,15.0,10,,0.4928406466512702,0.5074744295830055
267,200,15.0,50,sqrt,0.4909930715935335,0.5055596738324685
268,200,15.0,50,log2,0.4909930715935335,0.5055928411633109
269,200,15.0,50,,0.4969976905311778,0.5104633781763827
270,200,20.0,2,sqrt,0.49330254041570437,0.5076219512195121
271,200,20.0,2,log2,0.5030023094688222,0.5158546017014695
272,200,20.0,2,,0.5030023094688222,0.5169281585466556
273,200,20.0,3,sqrt,0.48775981524249423,0.503003003003003
274,200,20.0,3,log2,0.49884526558891457,0.5127186009538951
275,200,20.0,3,,0.4997690531177829,0.5134493670886076
276,200,20.0,5,sqrt,0.49792147806004616,0.5115562403697997
277,200,20.0,5,log2,0.4909930715935335,0.5060630557801131
278,200,20.0,5,,0.4951501154734411,0.5096618357487923
279,200,20.0,10,sqrt,0.49884526558891457,0.5126382306477093
280,200,20.0,10,log2,0.5006928406466513,0.5146818923327896
281,200,20.0,10,,0.49191685912240185,0.5070422535211268
282,200,20.0,50,sqrt,0.48914549653579675,0.5041509433962265
283,200,20.0,50,log2,0.48036951501154734,0.4969040247678019
284,200,20.0,50,,0.4997690531177829,0.512630014858841
285,200,,2,sqrt,0.4909930715935335,0.5059760956175299
286,200,,2,log2,0.4997690531177829,0.5136
287,200,,2,,0.4956120092378753,0.5103734439834025
288,200,,3,sqrt,0.5030023094688222,0.515928515928516
289,200,,3,log2,0.49792147806004616,0.5119426751592356
290,200,,3,,0.5039260969976905,0.517931609674729
291,200,,5,sqrt,0.492378752886836,0.5070977917981072
292,200,,5,log2,0.49653579676674364,0.5107227958697379
293,200,,5,,0.5039260969976905,0.5175224123879381
294,200,,10,sqrt,0.48452655889145496,0.5003909304143862
295,200,,10,log2,0.5030023094688222,0.516734693877551
296,200,,10,,0.5016166281755197,0.5159663865546219
297,200,,50,sqrt,0.49376443418013855,0.5077262693156733
298,200,,50,log2,0.4909930715935335,0.5054624908958485
299,200,,50,,0.49884526558891457,0.5121396054628224
